no;name;movies
983;Mabel Bardine;2
984;Frank Abbott;2
985;Old Blue;2
986;Christina Jo'Leigh;2
987;Senator the Horse;2
988;Florence Lee;2
989;Tanya Clarke;2
990;Marjorie Main;2
991;Irene Bentley;2
992;Teddy Alencar;2
993;Dante Varona;2
994;Hobart Cavanaugh;2
995;Simon Oakland;2
996;Ramiro Orci;2
997;Clifford Bruce;2
998;Al Hallett;2
999;Richard Anderson;2
1000;Viggo Mortensen;2
1001;Bobbie Mack;2
1002;Lillian Gale;2
1003;Carlyle Blackwell;2
1004;Agnes Vernon;2
1005;Dewey Martin;2
1006;Carolyn Craig;2
1007;Willie Nelson;2
1008;Carmen Phillips;2
1009;Jean-Marie Pallardy;2
1010;Vic Morrow;2
1011;Bruno Rey;2
1012;Nancy Roman;2
1013;Patricia Conde;2
1014;William Collier Jr.;2
1015;Charles Gunn;2
1016;Johnny Crawford;2
1017;Ricardo Cortez;2
1018;Jesús Tordesillas;2
1019;Funda Ege;2
1020;Edward W. Borman;2
1021;Howard Crampton;2
1022;Ray Turner;2
1023;Fritz Leiber;2
1024;George Walsh;2
1025;Dennis Weaver;2
1026;Carlton S. King;2
1027;Jack Byron;2
1028;Jack Henderson;2
1029;Renato Robles;2
1030;Rod Taylor;2
1031;Sevgi Can;2
1032;Grace Woods;2
1033;Jacques Herlin;2
1034;Ruth Renick;2
1035;Kadir Kök;2
1036;Bill Coontz;2
1037;Yusuf Sezgin;2
1038;Süleyman Turan;2
1039;Valentin Trujillo Jr.;2
1040;Cesare Gravina;2
1041;Eleanor Boardman;2
1042;Batatinha;2
1043;Larry Ward;2
1044;Michael Parks;2
1045;Sarah Ross;2
1046;Gordon Tootoosis;2
1047;T.D. Crittenden;2
1048;Ranger the Dog;2
1049;Milton Rodríguez;2
1050;Antonio Aguilar hijo;2
1051;Hortense Espey;2
1052;Telly Savalas;2
1053;Henry Duval;2
1054;Ethel Ritchie;2
1055;Lynn Bari;2
1056;Carlos Romero Marchent;2
1057;Toy Gallagher;2
1058;Rod Dana;2
1059;Louella Maxam;2
1060;Beryl Wallace;2
1061;Charles H. Hickman;2
1062;Maria Schell;2
1063;George Lessey;2
1064;Terry Walker;2
1065;Barbara Bestar;2
1066;George Reed;2
1067;Michael J. Pollard;2
1068;Todd Allen;2
1069;Yona Landowska;2
1070;Paul Ford;2
1071;Mickey Rooney;2
1072;Jere Austin;2
1073;Milton Ribeiro;2
1074;Janet Chandler;2
1075;Louise Currie;2
1076;Sally Rand;2
1077;Ely Ramos Jr.;2
1078;Gladden James;2
1079;Perry King;2
1080;Fred DeSilva;2
1081;Halina Zalewska;2
1082;Wilfrid North;2
1083;Victor Sutherland;2
1084;Dan Kemp;2
1085;James Whitmore;2
1086;Dan Braun;2
1087;Robert Padilla;2
1088;Gaspar 'Indio' González;2
1089;Eugene Strong;2
1090;Rene Auberjonois;2
1091;Nell Shipman;2
1092;Altan Bozkurt;2
1093;Merna Kennedy;2
1094;Harris Gordon;2
1095;Annabella Incontrera;2
1096;Blanca Guerra;2
1097;Burr McIntosh;2
1098;Ben Alexander;2
1099;Carlo Giordana;2
1100;Mary Charleson;2
